order_id,order_date,product,category,region,sales_rep,channel,quantity,unit_price,sales
1041,2024-01-15,Webcam HD,Electronics,South,Bob Chen,Retail Store,6,59.38,311.75
1042,2024-01-15,Office Chair,Furniture,North,Carla Diaz,Online,1,188.06,164.55
1043,2024-01-17,Desk Lamp,Furniture,South,Alice Kim,Partner,5,45.19,197.71
1044,2024-01-17,Mechanical Keyboard,Electronics,North,Bob Chen,Retail Store,2,59.61,104.32
1045,2024-01-17,Mechanical Keyboard,Electronics,North,Eve Torres,Online,5,62.5,273.44
1046,2024-01-17,Pen Pack,Stationery,East,Carla Diaz,Online,6,8.37,43.94
1047,2024-01-18,Notebook Set,Stationery,South,Carla Diaz,Retail Store,2,11.6,20.3
1048,2024-01-18,Notebook Set,Stationery,North,Alice Kim,Partner,1,10.83,9.48
1049,2024-01-18,Office Chair,Furniture,East,Alice Kim,Online,5,173.93,760.94
1050,2024-01-18,Notebook Set,Stationery,East,Eve Torres,Partner,3,11.27,29.58
1051,2024-01-18,Webcam HD,Electronics,East,Alice Kim,Online,1,58.68,51.34
1052,2024-01-19,Mechanical Keyboard,Electronics,South,Carla Diaz,Retail Store,1,70.56,61.74
1053,2024-01-19,Monitor 27in,Electronics,South,Carla Diaz,Partner,2,237.47,415.57
1054,2024-01-20,Standing Desk,Furniture,West,Carla Diaz,Online,1,387.69,339.23
1055,2024-01-20,Wireless Mouse,Electronics,East,Bob Chen,Partner,3,27.32,71.72
1056,2024-01-20,Desk Lamp,Furniture,North,Alice Kim,Online,5,43.06,188.39
1057,2024-01-21,USB-C Hub,Electronics,East,Eve Torres,Partner,5,31.82,139.21
1058,2024-01-21,USB-C Hub,Electronics,East,Carla Diaz,Online,4,32.62,114.17
1059,2024-01-21,Notebook Set,Stationery,North,Carla Diaz,Partner,2,12.85,22.49
1060,2024-01-21,Pen Pack,Stationery,South,Bob Chen,Online,5,8.7,38.06
1061,2024-01-21,Pen Pack,Stationery,East,David Lee,Partner,1,7.56,6.61
1062,2024-01-22,Office Chair,Furniture,North,David Lee,Online,3,169.16,444.05
1063,2024-01-22,Desk Lamp,Furniture,West,Carla Diaz,Retail Store,2,38.0,66.5
1064,2024-01-22,Office Chair,Furniture,South,David Lee,Retail Store,2,163.06,285.36
1065,2024-01-22,Standing Desk,Furniture,East,Carla Diaz,Partner,1,479.52,419.58
1066,2024-01-22,Webcam HD,Electronics,East,Alice Kim,Online,4,58.84,205.94
1067,2024-01-22,Standing Desk,Furniture,East,Alice Kim,Online,2,438.96,768.18
1068,2024-01-23,Pen Pack,Stationery,East,David Lee,Partner,3,8.66,22.73
1069,2024-01-23,Webcam HD,Electronics,South,Carla Diaz,Online,1,54.8,47.95
1070,2024-01-23,Pen Pack,Stationery,South,Carla Diaz,Retail Store,1,8.24,7.21
1071,2024-01-23,Mechanical Keyboard,Electronics,East,Alice Kim,Partner,6,73.46,385.66
1072,2024-01-24,Webcam HD,Electronics,East,David Lee,Partner,3,58.67,154.01
1073,2024-01-24,Standing Desk,Furniture,West,David Lee,Partner,5,391.37,1712.24
1074,2024-01-25,USB-C Hub,Electronics,West,Eve Torres,Online,5,36.48,159.6
1075,2024-01-25,Standing Desk,Furniture,East,David Lee,Retail Store,3,400.07,1050.18
1076,2024-01-25,Desk Lamp,Furniture,West,Bob Chen,Partner,6,38.14,200.24
1077,2024-01-25,Mechanical Keyboard,Electronics,East,Alice Kim,Online,3,66.88,175.56
1078,2024-01-25,Standing Desk,Furniture,South,Alice Kim,Online,2,462.69,809.71
1079,2024-01-26,Desk Lamp,Furniture,North,David Lee,Retail Store,5,44.5,194.69
1080,2024-01-27,Monitor 27in,Electronics,West,David Lee,Retail Store,2,237.51,415.64
1081,2024-01-27,Office Chair,Furniture,North,Alice Kim,Retail Store,2,191.52,335.16
1082,2024-01-27,Office Chair,Furniture,West,Alice Kim,Partner,2,198.18,346.81
1083,2024-01-27,Office Chair,Furniture,West,Eve Torres,Partner,1,182.54,159.72
1084,2024-01-27,Monitor 27in,Electronics,West,Eve Torres,Partner,3,250.25,656.91
1085,2024-01-28,Pen Pack,Stationery,South,David Lee,Retail Store,5,8.09,35.39
1086,2024-01-28,Standing Desk,Furniture,East,Eve Torres,Retail Store,2,466.19,815.83
1087,2024-01-28,Office Chair,Furniture,East,Bob Chen,Retail Store,3,181.79,477.2
1088,2024-01-28,Notebook Set,Stationery,North,Bob Chen,Online,3,13.48,35.38
1089,2024-01-29,Pen Pack,Stationery,South,Alice Kim,Retail Store,6,7.51,39.43
1090,2024-01-30,Notebook Set,Stationery,North,Bob Chen,Retail Store,5,12.2,53.38
1091,2024-01-30,Pen Pack,Stationery,North,Eve Torres,Retail Store,5,9.09,39.77
1092,2024-01-30,Desk Lamp,Furniture,East,David Lee,Retail Store,1,45.43,39.75
1093,2024-01-31,Webcam HD,Electronics,West,Bob Chen,Retail Store,5,61.84,270.55
1094,2024-01-31,Pen Pack,Stationery,East,David Lee,Partner,4,7.26,25.41
1095,2024-01-31,USB-C Hub,Electronics,North,David Lee,Partner,4,39.55,138.42
1096,2024-01-31,Monitor 27in,Electronics,West,Bob Chen,Retail Store,6,199.49,1047.32
1097,2024-02-01,Wireless Mouse,Electronics,South,David Lee,Retail Store,3,24.87,67.15
1098,2024-02-02,Pen Pack,Stationery,West,Carla Diaz,Online,3,8.7,23.49
1099,2024-02-02,Desk Lamp,Furniture,North,Carla Diaz,Online,1,43.49,39.14
1100,2024-02-03,Mechanical Keyboard,Electronics,North,Bob Chen,Online,6,59.15,319.41
1101,2024-02-03,Wireless Mouse,Electronics,South,David Lee,Partner,5,23.45,105.53
1102,2024-02-03,Mechanical Keyboard,Electronics,West,Carla Diaz,Retail Store,5,73.9,332.55
1103,2024-02-03,USB-C Hub,Electronics,North,Bob Chen,Retail Store,5,36.81,165.65
1104,2024-02-03,Mechanical Keyboard,Electronics,East,Eve Torres,Partner,5,58.92,265.14
1105,2024-02-04,Pen Pack,Stationery,South,Alice Kim,Partner,6,7.6,41.04
1106,2024-02-04,Standing Desk,Furniture,North,Eve Torres,Online,6,441.04,2381.62
1107,2024-02-04,Notebook Set,Stationery,East,Alice Kim,Partner,5,12.09,54.41
1108,2024-02-05,Notebook Set,Stationery,West,Alice Kim,Retail Store,1,13.35,12.02
1109,2024-02-05,Notebook Set,Stationery,West,Bob Chen,Retail Store,6,13.47,72.74
1110,2024-02-05,USB-C Hub,Electronics,East,Eve Torres,Partner,6,36.07,194.78
1111,2024-02-05,Desk Lamp,Furniture,East,Carla Diaz,Online,4,40.36,145.3
1112,2024-02-05,Mechanical Keyboard,Electronics,South,David Lee,Partner,3,72.83,196.64
1113,2024-02-06,Pen Pack,Stationery,East,Bob Chen,Retail Store,3,7.26,19.6
1114,2024-02-06,Office Chair,Furniture,East,Carla Diaz,Partner,3,197.9,534.33
1115,2024-02-06,Standing Desk,Furniture,South,Alice Kim,Online,5,379.07,1705.82
1116,2024-02-06,Pen Pack,Stationery,South,David Lee,Partner,4,8.31,29.92
1117,2024-02-07,Desk Lamp,Furniture,North,Carla Diaz,Online,4,43.93,158.15
1118,2024-02-07,Pen Pack,Stationery,East,David Lee,Partner,6,7.69,41.53
1119,2024-02-07,Webcam HD,Electronics,East,Carla Diaz,Partner,3,55.35,149.45
1120,2024-02-07,Desk Lamp,Furniture,South,Alice Kim,Partner,3,39.07,105.49
1121,2024-02-07,Office Chair,Furniture,South,Bob Chen,Online,3,167.38,451.93
1122,2024-02-08,Desk Lamp,Furniture,East,Alice Kim,Online,3,43.25,116.78
1123,2024-02-08,Standing Desk,Furniture,East,Alice Kim,Partner,2,415.89,748.6
1124,2024-02-08,Webcam HD,Electronics,North,Eve Torres,Retail Store,2,53.27,95.89
1125,2024-02-08,USB-C Hub,Electronics,West,Alice Kim,Online,6,39.1,211.14
1126,2024-02-08,Monitor 27in,Electronics,West,Carla Diaz,Online,3,223.82,604.31
1127,2024-02-10,Desk Lamp,Furniture,West,David Lee,Online,1,44.22,39.8
1128,2024-02-10,Monitor 27in,Electronics,South,Bob Chen,Partner,6,235.75,1273.05
1129,2024-02-11,Mechanical Keyboard,Electronics,West,Eve Torres,Partner,2,60.42,108.76
1130,2024-02-11,Monitor 27in,Electronics,West,David Lee,Retail Store,2,240.66,433.19
1131,2024-02-12,Monitor 27in,Electronics,North,Eve Torres,Partner,4,214.8,773.28
1132,2024-02-12,Mechanical Keyboard,Electronics,East,Alice Kim,Online,2,68.66,123.59
1133,2024-02-13,USB-C Hub,Electronics,North,David Lee,Retail Store,5,32.16,144.72
1134,2024-02-14,Monitor 27in,Electronics,South,Carla Diaz,Partner,4,214.02,770.47
1135,2024-02-14,Standing Desk,Furniture,North,Bob Chen,Retail Store,6,468.26,2528.6
1136,2024-02-14,Monitor 27in,Electronics,South,David Lee,Online,6,242.21,1307.93
1137,2024-02-14,Webcam HD,Electronics,East,Bob Chen,Online,2,58.4,105.12
1138,2024-02-14,Wireless Mouse,Electronics,East,David Lee,Online,2,27.45,49.41
1139,2024-02-15,Standing Desk,Furniture,East,Eve Torres,Partner,6,420.26,2269.4
1140,2024-02-15,Desk Lamp,Furniture,North,David Lee,Partner,4,36.8,132.48
1141,2024-02-15,Notebook Set,Stationery,North,Bob Chen,Partner,5,11.55,51.98
1142,2024-02-16,Monitor 27in,Electronics,East,Eve Torres,Online,5,250.29,1126.31
1143,2024-02-16,USB-C Hub,Electronics,West,Carla Diaz,Online,4,36.04,129.74
1144,2024-02-16,Monitor 27in,Electronics,West,Alice Kim,Retail Store,4,232.91,838.48
1145,2024-02-16,Notebook Set,Stationery,North,Bob Chen,Retail Store,4,11.8,42.48
1146,2024-02-16,Pen Pack,Stationery,West,Eve Torres,Online,6,8.19,44.23
1147,2024-02-16,Desk Lamp,Furniture,East,Alice Kim,Retail Store,1,39.15,35.23
1148,2024-02-17,Webcam HD,Electronics,West,David Lee,Online,1,58.54,52.69
1149,2024-02-17,Office Chair,Furniture,West,David Lee,Online,5,178.28,802.26
1150,2024-02-17,Office Chair,Furniture,East,David Lee,Partner,3,186.71,504.12
1151,2024-02-17,Desk Lamp,Furniture,South,Bob Chen,Retail Store,1,36.29,32.66
1152,2024-02-17,Webcam HD,Electronics,North,Bob Chen,Online,1,57.09,51.38
1153,2024-02-17,Desk Lamp,Furniture,South,David Lee,Partner,1,42.48,38.23
1154,2024-02-18,Webcam HD,Electronics,West,David Lee,Online,6,53.26,287.6
1155,2024-02-18,Desk Lamp,Furniture,South,Eve Torres,Partner,5,37.45,168.53
1156,2024-02-19,USB-C Hub,Electronics,West,Carla Diaz,Partner,1,33.92,30.53
1157,2024-02-19,Standing Desk,Furniture,East,Eve Torres,Partner,1,407.7,366.93
1158,2024-02-19,Desk Lamp,Furniture,West,Carla Diaz,Retail Store,2,40.47,72.85
1159,2024-02-19,Webcam HD,Electronics,East,Bob Chen,Partner,5,54.69,246.1
1160,2024-02-19,Office Chair,Furniture,West,Alice Kim,Retail Store,5,179.23,806.53
1161,2024-02-20,Desk Lamp,Furniture,West,David Lee,Partner,6,45.13,243.7
1162,2024-02-20,USB-C Hub,Electronics,South,Eve Torres,Partner,4,39.94,143.78
1163,2024-02-20,Notebook Set,Stationery,West,Alice Kim,Partner,1,13.42,12.08
1164,2024-02-20,Desk Lamp,Furniture,West,Bob Chen,Online,1,43.22,38.9
1165,2024-02-20,Desk Lamp,Furniture,West,Alice Kim,Retail Store,3,39.39,106.35
1166,2024-02-21,Webcam HD,Electronics,West,Eve Torres,Online,4,62.62,225.43
1167,2024-02-21,Monitor 27in,Electronics,East,Bob Chen,Partner,1,210.91,189.82
1168,2024-02-21,Mechanical Keyboard,Electronics,North,David Lee,Online,4,74.4,267.84
1169,2024-02-21,Standing Desk,Furniture,North,Carla Diaz,Retail Store,1,382.83,344.55
1170,2024-02-21,Notebook Set,Stationery,West,Eve Torres,Partner,4,11.24,40.46
1171,2024-02-21,USB-C Hub,Electronics,West,Eve Torres,Partner,2,33.03,59.45
1172,2024-02-22,Desk Lamp,Furniture,West,Carla Diaz,Retail Store,5,37.43,168.44
1173,2024-02-23,Wireless Mouse,Electronics,South,Alice Kim,Retail Store,4,28.13,101.27
1174,2024-02-23,Notebook Set,Stationery,West,Carla Diaz,Retail Store,5,11.7,52.65
1175,2024-02-24,Standing Desk,Furniture,West,Alice Kim,Online,2,482.93,869.27
1176,2024-02-24,Pen Pack,Stationery,East,Carla Diaz,Online,5,7.92,35.64
1177,2024-02-24,Pen Pack,Stationery,North,Eve Torres,Partner,3,7.22,19.49
1178,2024-02-24,Desk Lamp,Furniture,South,Eve Torres,Retail Store,3,43.76,118.15
1179,2024-02-24,Office Chair,Furniture,East,Bob Chen,Partner,6,170.56,921.02
1180,2024-02-24,Mechanical Keyboard,Electronics,East,David Lee,Online,6,69.0,372.6
1181,2024-02-25,Notebook Set,Stationery,East,Carla Diaz,Partner,6,11.19,60.43
1182,2024-02-25,Pen Pack,Stationery,East,Eve Torres,Partner,2,7.6,13.68
1183,2024-02-25,Standing Desk,Furniture,West,Carla Diaz,Partner,2,404.98,728.96
1184,2024-02-25,Notebook Set,Stationery,North,Bob Chen,Online,1,12.2,10.98
1185,2024-02-26,Pen Pack,Stationery,West,Alice Kim,Retail Store,5,7.93,35.69
1186,2024-02-26,Webcam HD,Electronics,East,Eve Torres,Retail Store,1,55.75,50.18
1187,2024-02-26,Notebook Set,Stationery,West,Alice Kim,Partner,1,12.82,11.54
1188,2024-02-26,Webcam HD,Electronics,South,Alice Kim,Partner,3,62.08,167.62
1189,2024-02-26,Desk Lamp,Furniture,West,Alice Kim,Online,6,39.02,210.71
1190,2024-02-26,Wireless Mouse,Electronics,West,Alice Kim,Online,1,24.4,21.96
1191,2024-02-27,Webcam HD,Electronics,East,Eve Torres,Retail Store,2,54.84,98.71
1192,2024-02-28,USB-C Hub,Electronics,West,Eve Torres,Retail Store,4,37.23,134.03
1193,2024-02-28,Standing Desk,Furniture,South,David Lee,Retail Store,1,450.48,405.43
1194,2024-02-28,Office Chair,Furniture,East,Eve Torres,Partner,3,166.47,449.47
1195,2024-02-28,Notebook Set,Stationery,South,Alice Kim,Retail Store,1,11.99,10.79
1196,2024-03-01,Office Chair,Furniture,North,Alice Kim,Retail Store,6,190.78,1058.83
1197,2024-03-01,Office Chair,Furniture,South,Alice Kim,Partner,2,197.41,365.21
1198,2024-03-01,Office Chair,Furniture,South,Carla Diaz,Online,5,171.72,794.21
1199,2024-03-01,Monitor 27in,Electronics,South,Bob Chen,Partner,1,213.25,197.26
1200,2024-03-01,Standing Desk,Furniture,North,Bob Chen,Online,2,389.54,720.65
1201,2024-03-02,Office Chair,Furniture,South,Carla Diaz,Online,5,176.57,816.64
1202,2024-03-02,USB-C Hub,Electronics,North,Alice Kim,Retail Store,6,35.18,195.25
1203,2024-03-03,Notebook Set,Stationery,West,Eve Torres,Online,5,12.58,58.18
1204,2024-03-03,Monitor 27in,Electronics,East,David Lee,Partner,1,238.0,220.15
1205,2024-03-03,Wireless Mouse,Electronics,West,David Lee,Partner,1,28.74,26.58
1206,2024-03-05,Desk Lamp,Furniture,East,Eve Torres,Online,1,44.99,41.62
1207,2024-03-05,Mechanical Keyboard,Electronics,East,David Lee,Partner,2,62.97,116.49
1208,2024-03-05,Webcam HD,Electronics,West,Alice Kim,Partner,3,55.74,154.68
1209,2024-03-07,Webcam HD,Electronics,West,David Lee,Online,6,61.4,340.77
1210,2024-03-07,Pen Pack,Stationery,West,David Lee,Partner,3,8.85,24.56
1211,2024-03-07,Mechanical Keyboard,Electronics,East,Carla Diaz,Online,3,65.43,181.57
1212,2024-03-07,Desk Lamp,Furniture,North,Alice Kim,Retail Store,1,36.91,34.14
1213,2024-03-07,Mechanical Keyboard,Electronics,South,Eve Torres,Online,6,70.51,391.33
1214,2024-03-07,Monitor 27in,Electronics,North,David Lee,Retail Store,5,228.89,1058.62
1215,2024-03-08,Pen Pack,Stationery,East,Eve Torres,Retail Store,6,7.3,40.52
1216,2024-03-08,Notebook Set,Stationery,South,Bob Chen,Partner,1,12.53,11.59
1217,2024-03-08,Desk Lamp,Furniture,East,Eve Torres,Retail Store,2,44.47,82.27
1218,2024-03-08,Mechanical Keyboard,Electronics,West,Eve Torres,Partner,3,67.83,188.23
1219,2024-03-08,Monitor 27in,Electronics,North,Eve Torres,Partner,6,233.35,1295.09
1220,2024-03-08,Standing Desk,Furniture,East,Carla Diaz,Retail Store,1,396.94,367.17
1221,2024-03-10,USB-C Hub,Electronics,North,Bob Chen,Partner,5,37.25,172.28
1222,2024-03-11,Wireless Mouse,Electronics,South,David Lee,Retail Store,1,27.16,25.12
1223,2024-03-11,Desk Lamp,Furniture,East,Carla Diaz,Partner,3,37.57,104.26
1224,2024-03-11,Monitor 27in,Electronics,South,Bob Chen,Partner,1,246.58,228.09
1225,2024-03-11,Wireless Mouse,Electronics,West,David Lee,Retail Store,6,23.01,127.71
1226,2024-03-11,Monitor 27in,Electronics,South,Eve Torres,Online,4,220.78,816.89
1227,2024-03-12,Pen Pack,Stationery,West,Eve Torres,Partner,1,7.77,7.19
1228,2024-03-12,Standing Desk,Furniture,North,Alice Kim,Online,1,401.15,371.06
1229,2024-03-13,Office Chair,Furniture,East,Carla Diaz,Online,2,196.39,363.32
1230,2024-03-13,Wireless Mouse,Electronics,South,Bob Chen,Retail Store,4,27.17,100.53
1231,2024-03-14,Office Chair,Furniture,East,Alice Kim,Retail Store,5,187.14,865.52
1232,2024-03-14,Wireless Mouse,Electronics,North,Carla Diaz,Partner,4,22.62,83.69
1233,2024-03-14,Pen Pack,Stationery,West,Carla Diaz,Online,5,8.01,37.05
1234,2024-03-14,Pen Pack,Stationery,South,Eve Torres,Retail Store,1,9.13,8.45
1235,2024-03-15,Notebook Set,Stationery,North,Bob Chen,Retail Store,1,12.11,11.2
1236,2024-03-15,Monitor 27in,Electronics,West,Carla Diaz,Partner,4,226.82,839.23
1237,2024-03-15,Notebook Set,Stationery,South,Alice Kim,Partner,2,11.8,21.83
1238,2024-03-15,Mechanical Keyboard,Electronics,East,Carla Diaz,Partner,5,66.79,308.9
1239,2024-03-15,USB-C Hub,Electronics,East,Bob Chen,Online,2,32.4,59.94
1240,2024-03-15,Monitor 27in,Electronics,North,Bob Chen,Partner,2,239.81,443.65
1241,2024-03-16,Desk Lamp,Furniture,West,Eve Torres,Partner,5,43.6,201.65
1242,2024-03-16,Monitor 27in,Electronics,East,Bob Chen,Retail Store,3,245.53,681.35
1243,2024-03-16,Mechanical Keyboard,Electronics,East,Carla Diaz,Partner,4,65.69,243.05
1244,2024-03-18,Webcam HD,Electronics,West,Alice Kim,Online,1,53.77,49.74
1245,2024-03-18,Notebook Set,Stationery,North,Eve Torres,Partner,3,11.03,30.61
1246,2024-03-19,Pen Pack,Stationery,North,David Lee,Partner,4,8.36,30.93
1247,2024-03-19,Office Chair,Furniture,South,Alice Kim,Retail Store,3,189.23,525.11
1248,2024-03-19,Mechanical Keyboard,Electronics,North,Eve Torres,Partner,3,74.46,206.63
1249,2024-03-19,USB-C Hub,Electronics,West,David Lee,Partner,1,33.67,31.14
1250,2024-03-20,Monitor 27in,Electronics,East,David Lee,Retail Store,2,218.01,403.32
1251,2024-03-20,Notebook Set,Stationery,East,Alice Kim,Retail Store,6,12.59,69.87
1252,2024-03-20,Mechanical Keyboard,Electronics,East,Carla Diaz,Partner,5,69.52,321.53
1253,2024-03-20,Monitor 27in,Electronics,South,Carla Diaz,Retail Store,2,216.33,400.21
1254,2024-03-21,Pen Pack,Stationery,North,Carla Diaz,Partner,2,8.39,15.52
1255,2024-03-21,Pen Pack,Stationery,South,Eve Torres,Online,6,8.78,48.73
1256,2024-03-21,Pen Pack,Stationery,East,Carla Diaz,Online,5,7.92,36.63
1257,2024-03-21,Office Chair,Furniture,West,Bob Chen,Online,3,204.65,567.9
1258,2024-03-21,USB-C Hub,Electronics,North,Eve Torres,Partner,2,32.18,59.53
1259,2024-03-22,Webcam HD,Electronics,South,Eve Torres,Retail Store,1,58.6,54.21
1260,2024-03-22,USB-C Hub,Electronics,South,David Lee,Online,2,33.08,61.2
1261,2024-03-22,Pen Pack,Stationery,South,David Lee,Partner,3,8.55,23.73
1262,2024-03-22,Standing Desk,Furniture,South,Eve Torres,Online,6,460.3,2554.67
1263,2024-03-22,Standing Desk,Furniture,South,Carla Diaz,Partner,4,472.92,1749.8
1264,2024-03-22,Monitor 27in,Electronics,East,David Lee,Partner,4,223.39,826.54
1265,2024-03-23,Pen Pack,Stationery,South,Carla Diaz,Online,2,8.83,16.34
1266,2024-03-23,Desk Lamp,Furniture,North,Eve Torres,Online,3,41.55,115.3
1267,2024-03-23,Standing Desk,Furniture,East,David Lee,Partner,1,458.13,423.77
1268,2024-03-23,USB-C Hub,Electronics,South,David Lee,Retail Store,4,32.3,119.51
1269,2024-03-25,Wireless Mouse,Electronics,South,David Lee,Online,4,25.64,94.87
1270,2024-03-25,Notebook Set,Stationery,North,Carla Diaz,Online,2,10.88,20.13
1271,2024-03-25,USB-C Hub,Electronics,West,Bob Chen,Partner,1,34.01,31.46
1272,2024-03-26,Desk Lamp,Furniture,North,Alice Kim,Retail Store,5,36.05,166.73
1273,2024-03-26,Office Chair,Furniture,West,Alice Kim,Retail Store,2,186.7,345.39
1274,2024-03-26,Office Chair,Furniture,South,David Lee,Partner,3,167.48,464.76
1275,2024-03-27,Monitor 27in,Electronics,West,Eve Torres,Partner,4,201.45,745.37
1276,2024-03-27,Wireless Mouse,Electronics,South,Bob Chen,Retail Store,6,25.72,142.75
1277,2024-03-27,Pen Pack,Stationery,South,Eve Torres,Retail Store,1,8.43,7.8
1278,2024-03-27,USB-C Hub,Electronics,East,Alice Kim,Partner,6,37.35,207.29
1279,2024-03-27,Webcam HD,Electronics,North,David Lee,Retail Store,5,60.31,278.93
1280,2024-03-27,Wireless Mouse,Electronics,East,Carla Diaz,Partner,6,24.92,138.31
1281,2024-03-29,Mechanical Keyboard,Electronics,North,Eve Torres,Partner,3,62.42,173.22
1282,2024-03-29,Notebook Set,Stationery,East,Bob Chen,Partner,2,10.93,20.22
1283,2024-03-30,Desk Lamp,Furniture,South,Alice Kim,Partner,6,37.82,209.9
1284,2024-03-30,Desk Lamp,Furniture,North,Bob Chen,Online,1,38.93,36.01
1285,2024-03-30,Notebook Set,Stationery,West,Carla Diaz,Online,3,12.35,34.27
1286,2024-03-31,Office Chair,Furniture,North,Carla Diaz,Retail Store,3,178.06,494.12
1287,2024-03-31,Mechanical Keyboard,Electronics,West,David Lee,Retail Store,3,65.6,182.04
1288,2024-03-31,Notebook Set,Stationery,West,Carla Diaz,Partner,2,12.29,22.74
1289,2024-03-31,Standing Desk,Furniture,North,David Lee,Partner,1,454.34,420.26
1290,2024-03-31,USB-C Hub,Electronics,North,Alice Kim,Retail Store,5,34.07,157.57
1291,2024-03-31,Standing Desk,Furniture,West,Bob Chen,Partner,3,424.82,1178.88
1292,2024-04-01,Notebook Set,Stationery,East,Eve Torres,Retail Store,4,10.93,41.53
1293,2024-04-01,Standing Desk,Furniture,North,Alice Kim,Partner,6,480.9,2741.13
1294,2024-04-01,Pen Pack,Stationery,South,Alice Kim,Online,3,8.23,23.46
1295,2024-04-02,Monitor 27in,Electronics,North,Bob Chen,Online,6,240.97,1373.53
1296,2024-04-02,Office Chair,Furniture,West,Eve Torres,Online,6,178.48,1017.34
1297,2024-04-02,Monitor 27in,Electronics,East,Carla Diaz,Retail Store,2,235.35,447.16
1298,2024-04-02,Mechanical Keyboard,Electronics,East,David Lee,Retail Store,5,60.74,288.51
1299,2024-04-02,Standing Desk,Furniture,North,Bob Chen,Retail Store,2,478.85,909.82
1300,2024-04-02,Webcam HD,Electronics,North,Carla Diaz,Retail Store,4,62.06,235.83
1301,2024-04-03,Desk Lamp,Furniture,East,David Lee,Online,2,45.96,87.32
1302,2024-04-03,Mechanical Keyboard,Electronics,West,Bob Chen,Partner,2,72.36,137.48
